subid,Gender,Choice,ReactionTime,Group,PartnerExpectation,IntrinsicReward,Timing,PartnerChoice
101,female,1,596,adult,0.795334284662095,1.7647327113797,1,1
101,female,1,554,adult,0.916223889930447,2.03296940756775,1,1
101,female,1,586,adult,0.965707805008776,2.14276711817815,1,1
101,female,1,456,adult,0.985963126763228,2.18771077214724,1,1
101,female,1,500,adult,0.994254266595777,2.2061076223262,1,1
101,female,1,462,adult,0.997648090725368,2.21363803132989,1,1
101,female,1,402,adult,0.999037289611795,2.21672046442094,1,0
101,female,0,384,adult,1.01419348896847e-06,2.25034989710192e-06,1,1
101,female,0,391,adult,0.590668984465462,1.31060976319724,1,0
101,female,0,405,adult,5.99629908060173e-07,1.33049276748452e-06,1,0
101,female,0,595,adult,6.08726776167776e-13,1.35067741314885e-12,1,1
101,female,0,514,adult,0.590668569324439,1.31060884205885,1,0
101,female,1,547,adult,5.99629486619513e-07,1.33049183236814e-06,1,1
101,female,1,467,adult,0.590668814771386,1.31060938667042,1,1
101,female,1,1811,adult,0.832447880330146,1.84708245736124,1,1
101,female,1,801,adult,0.931415651142774,2.06667774690616,1,1
101,female,1,375,adult,0.971926270360303,2.15656500094525,1,1
101,female,1,375,adult,0.988508540082177,2.19335867924059,1,0
101,female,0,806,adult,1.00350500975566e-06,2.22663369466288e-06,1,1
101,female,0,452,adult,0.590668980090331,1.31060975348945,1,1
101,female,0,360,adult,0.832447948000387,1.8470826075118,1,1
101,female,0,416,adult,0.931415678842331,2.0666778083675,1,1
101,female,0,341,adult,0.971926281698602,2.15656502610331,1,1
101,female,0,446,adult,0.988508544723299,2.19335868953858,1,1
101,female,0,346,adult,0.995296186171041,2.20841949243234,1,1
101,female,0,314,adult,0.99807458115576,2.21458435242797,1,1
101,female,0,379,adult,0.999211865549837,2.21710782338989,1,1
101,female,0,490,adult,0.99967739179795,2.21814075936901,1,1
101,female,0,573,adult,0.999867946323107,2.21856357253114,1,1
101,female,1,1284,adult,0.999945946279511,2.2187366432477,1,0
101,female,0,342,adult,1.01511593064707e-06,2.25239666289079e-06,1,1
101,female,0,319,adult,0.590668984843046,1.31060976403504,1,1
101,female,0,384,adult,0.832447949945822,1.84708261182844,1,1
101,female,1,415,adult,0.931415679638659,2.06667781013444,1,0
101,female,0,316,adult,9.45546004715858e-07,2.09803097491943e-06,1,1
101,female,0,389,adult,0.590668956365889,1.31060970084831,1,1
101,female,0,324,adult,0.832447938289227,1.84708258596413,1,1
101,female,0,278,adult,0.931415674867248,2.06667779954736,1,1
101,female,0,305,adult,0.971926280071476,2.15656502249295,1,0
101,female,0,595,adult,9.86671183533794e-07,2.18928184857212e-06,1,0
101,female,0,386,adult,1.00163977915701e-12,2.22249501547454e-12,1,1
101,female,0,312,adult,0.5906685693246,1.3106088420592,1,1
101,female,1,338,adult,0.832447779861062,1.84708223443475,1,1
101,female,1,339,adult,0.93141561001762,2.06667765565534,1,1
101,female,1,1173,adult,0.971926253526485,2.15656496359342,1,1
101,female,1,284,adult,0.988508533191566,2.19335866395131,1,0
101,female,0,327,adult,1.00350500276125e-06,2.22663367914329e-06,1,1
101,female,0,360,adult,0.590668980090328,1.31060975348944,1,1
101,female,0,336,adult,0.832447948000386,1.8470826075118,1,1
101,female,0,361,adult,0.93141567884233,2.0666778083675,1,1
101,female,0,409,adult,0.971926281698602,2.15656502610331,1,1
101,female,0,326,adult,0.988508544723299,2.19335868953858,1,1
101,female,0,328,adult,0.995296186171041,2.20841949243234,1,1
101,female,0,337,adult,0.99807458115576,2.21458435242797,1,0
101,female,0,297,adult,1.01321617540506e-06,2.24818137847034e-06,1,1
101,female,1,333,adult,0.590668984065417,1.31060976230959,1,0
101,female,1,324,adult,5.99629907727106e-07,1.33049276674549e-06,1,0
101,female,0,366,adult,6.0872677574426e-13,1.35067741220912e-12,1,1
101,female,0,302,adult,0.590668569324439,1.31060884205885,1,1
101,female,1,876,adult,0.832447779860996,1.84708223443461,1,0
101,female,0,320,adult,8.45076682298718e-07,1.87510395771558e-06,1,1
101,female,0,369,adult,0.590668915240637,1.31060960959728,1,0
101,female,0,312,adult,5.99629837783056e-07,1.33049261154968e-06,1,0
101,female,0,322,adult,6.08726704805251e-13,1.35067725480564e-12,1,0
101,female,0,283,adult,6.1796157858874e-19,1.37116811527208e-18,1,0
101,female,0,310,adult,6.27336552829369e-25,1.3919698385598e-24,1,0
101,female,0,312,adult,6.36853752953501e-31,1.41308714068508e-30,1,0
101,female,0,490,adult,6.46515336714649e-37,1.4345248093935e-36,1,1
101,female,0,372,adult,0.59066856932419,1.31060884205829,1,0
101,female,0,340,adult,5.99629486619513e-07,1.33049183236814e-06,1,0
101,female,0,316,adult,6.08726348310259e-13,1.35067646379438e-12,1,0
101,female,0,326,adult,6.17961216697222e-19,1.3711673122867e-18,1,0
101,female,0,335,adult,6.27336185458232e-25,1.39196902341593e-24,1,0
101,female,0,312,adult,6.36853380009551e-31,1.41308631317594e-30,1,1
101,female,0,1390,adult,0.59066856932419,1.31060884205829,1,0
101,female,0,372,adult,5.99629486619513e-07,1.33049183236814e-06,1,0
101,female,0,316,adult,6.08726348310259e-13,1.35067646379438e-12,1,1
101,female,0,301,adult,0.590668569324439,1.31060884205885,1,0
101,female,0,303,adult,5.99629486619513e-07,1.33049183236814e-06,1,0
101,female,0,569,adult,6.08726348310259e-13,1.35067646379438e-12,1,0
101,female,0,521,adult,6.17961216697222e-19,1.3711673122867e-18,1,1
101,female,1,538,adult,0.59066856932419,1.31060884205829,1,1
101,female,1,307,adult,0.832447779860895,1.84708223443438,1,1
101,female,1,381,adult,0.931415610017552,2.06667765565519,1,1
101,female,1,347,adult,0.971926253526457,2.15656496359336,1,1
101,female,1,307,adult,0.988508533191555,2.19335866395129,1,1
101,female,1,293,adult,0.995296181450736,2.20841948195866,1,1
101,female,1,320,adult,0.99807457922359,2.21458434814076,1,0
101,female,0,329,adult,1.01321617340666e-06,2.24818137403617e-06,1,1
101,female,1,1556,adult,0.590668984065416,1.31060976230959,1,1
101,female,1,292,adult,0.832447949627514,1.84708261112216,1,1
101,female,1,319,adult,0.931415679508365,2.06667780984534,1,0
101,female,0,352,adult,9.45546004604836e-07,2.09803097467309e-06,1,1
101,female,0,296,adult,0.590668956365889,1.31060970084831,1,1
101,female,0,290,adult,0.832447938289227,1.84708258596413,1,1
101,female,0,333,adult,0.931415674867248,2.06667779954736,1,0
101,female,0,621,adult,9.45545999941899e-07,2.0980309643267e-06,1,1
101,female,0,323,adult,0.590668956365887,1.31060970084831,1,1
101,female,0,508,adult,0.832447938289226,1.84708258596413,1,1
101,female,0,382,adult,0.931415674867247,2.06667779954736,1,0
101,female,0,333,adult,9.45545999941899e-07,2.0980309643267e-06,1,0
101,female,0,317,adult,9.59890693351155e-13,2.12985978169597e-12,1,0
101,female,0,311,adult,9.74453007389892e-19,2.16217146803106e-18,1,0
101,female,0,329,adult,9.89236243408741e-25,2.19497334855554e-24,1,1
101,female,1,842,adult,0.59066856932419,1.31060884205829,1,0
101,female,0,326,adult,5.99629486619513e-07,1.33049183236814e-06,1,0
101,female,0,455,adult,6.08726348310259e-13,1.35067646379438e-12,1,0
101,female,0,340,adult,6.17961216697222e-19,1.3711673122867e-18,1,0
101,female,0,324,adult,6.27336185458232e-25,1.39196902341593e-24,1,0
101,female,0,254,adult,6.36853380009551e-31,1.41308631317594e-30,1,0
101,female,0,298,adult,6.4651495810132e-37,1.43452396930482e-36,1,1
101,female,0,300,adult,0.59066856932419,1.31060884205829,1,0
101,female,0,334,adult,5.99629486619513e-07,1.33049183236814e-06,1,0
101,female,0,366,adult,6.08726348310259e-13,1.35067646379438e-12,1,0
101,female,0,334,adult,6.17961216697222e-19,1.3711673122867e-18,1,1
101,female,0,342,adult,0.59066856932419,1.31060884205829,1,0
101,female,0,279,adult,5.99629486619513e-07,1.33049183236814e-06,1,0
101,female,0,338,adult,6.08726348310259e-13,1.35067646379438e-12,1,0
101,female,0,346,adult,6.17961216697222e-19,1.3711673122867e-18,1,1
105,female,1,1167,adult,0.526644771890549,1.88286114684759,1,1
105,female,0,1128,adult,0.551869656042899,1.97304518899367,1,0
105,female,1,683,adult,0.44056064961671,1.57509306893041,1,1
105,female,1,752,adult,0.470372917371829,1.68167793153908,1,1
105,female,0,650,adult,0.498596502979197,1.78258293544537,1,1
105,female,0,568,adult,0.525316066585683,1.87811075772826,1,1
105,female,1,450,adult,0.550611756837548,1.96854794594329,1,0
105,female,0,665,adult,0.439556461607833,1.57150289451501,1,0
105,female,1,471,adult,0.350900394955065,1.2545395973506,1,1
105,female,0,452,adult,0.3854906167764,1.37820660821721,1,1
105,female,1,587,adult,0.418237541457589,1.49528346049396,1,1
105,female,0,652,adult,0.449239397462284,1.60612134072556,1,0
105,female,1,443,adult,0.358630337095429,1.28217569762218,1,1
105,female,0,410,adult,0.39280863382665,1.40436999331343,1,1
105,female,0,2093,adult,0.425165584717849,1.52005261073464,1,1
105,female,1,480,adult,0.455798248457908,1.62957055425006,1,1
105,female,1,374,adult,0.48479851152246,1.73325233651971,1,1
105,female,0,264,adult,0.512253363798771,1.8314089639138,1,1
105,female,0,303,adult,0.538245159522699,1.92433486941497,1,0
105,female,1,236,adult,0.429684137433237,1.53620734690954,1,1
105,female,1,244,adult,0.460076009560542,1.64486441190431,1,1
105,female,0,251,adult,0.488848312687531,1.74773119147691,1,1
105,female,0,218,adult,0.51608735290735,1.84511624729585,1,1
105,female,1,226,adult,0.541874837100821,1.93731169791911,1,1
105,female,1,347,adult,0.566288118026359,2.02459409503996,1,1
105,female,1,254,adult,0.589400426349175,2.10722525303812,1,1
105,female,0,286,adult,0.611281090305741,2.18545303432446,1,1
